,team_ids,round_ids,shots_total,shots_ongoal,shots_offgoal,shots_insidebox,shots_outsidebox,passes_total,passes_percentage,attacks_total,attacks_dangerous,fouls,corners,possession_time,yellow_cards,red_cards,saves,substitutions,tackles,penalties,injuries,results
581,2394,199457,6,-2.0,8.0,-1.0,8.0,-7.0,-1.980000000000004,20.0,-5.0,-4.0,4.0,2,-1.0,,0.0,2.0,0.0,,0.0,-1
582,85,199457,12,4.0,8.0,4.0,7.0,278.0,5.909999999999997,67.0,47.0,-5.0,6.0,28,0.0,,-1.0,-3.0,0.0,,,1
583,211,199457,-12,-4.0,-8.0,-4.0,-7.0,-278.0,-5.909999999999997,-67.0,-47.0,5.0,-6.0,-28,0.0,,1.0,3.0,0.0,,,-1
584,2650,199457,5,-2.0,7.0,-3.0,8.0,128.0,5.5,27.0,13.0,-11.0,1.0,14,-2.0,,0.0,-2.0,-16.0,,2.0,-1
585,2356,199457,-5,2.0,-7.0,3.0,-8.0,-128.0,-5.5,-27.0,-13.0,11.0,-1.0,-14,2.0,,0.0,2.0,16.0,,-2.0,1
586,2905,199457,10,4.0,6.0,7.0,1.0,-144.0,-4.930000000000007,-5.0,17.0,2.0,1.0,-16,-1.0,,-1.0,0.0,1.0,,,1
587,293,199457,-10,-4.0,-6.0,-7.0,-1.0,144.0,4.930000000000007,5.0,-17.0,-2.0,-1.0,16,1.0,,1.0,0.0,-1.0,,,-1
588,2356,199458,6,6.0,0.0,3.0,-2.0,44.0,1.269999999999996,35.0,1.0,5.0,-1.0,4,1.0,,-3.0,1.0,4.0,1.0,,1
589,7466,199458,-6,-6.0,0.0,-3.0,2.0,-44.0,-1.269999999999996,-35.0,-1.0,-5.0,1.0,-4,-1.0,,3.0,-1.0,-4.0,-1.0,,-1
590,211,199458,0,-1.0,1.0,0.0,-2.0,71.0,5.839999999999996,46.0,0.0,-2.0,5.0,12,-2.0,,-1.0,1.0,2.0,1.0,,-1
591,2905,199458,0,1.0,-1.0,0.0,2.0,-71.0,-5.839999999999996,-46.0,0.0,2.0,-5.0,-12,2.0,,1.0,-1.0,-2.0,-1.0,,1
592,1020,199458,2,4.0,-2.0,3.0,-4.0,-267.0,-7.969999999999999,-50.0,-3.0,-5.0,-6.0,-30,-2.0,,-1.0,0.0,1.0,,1.0,1
593,2650,199458,-2,-4.0,2.0,-3.0,4.0,267.0,7.969999999999999,50.0,3.0,5.0,6.0,30,2.0,,1.0,0.0,-1.0,,-1.0,-1
594,2394,199458,2,1.0,1.0,-2.0,7.0,-90.0,-7.299999999999997,-59.0,10.0,6.0,6.0,-10,0.0,,-1.0,1.0,-3.0,,-1.0,-1
