,team_ids,round_ids,shots_total,shots_ongoal,shots_offgoal,shots_insidebox,shots_outsidebox,passes_total,passes_percentage,attacks_total,attacks_dangerous,fouls,corners,possession_time,yellow_cards,red_cards,saves,substitutions,tackles,penalties,injuries,results
116,282,194978,-9,-3.0,-6.0,-9.0,-3.0,-138,-14.5,-32,-58,1.0,-8.0,-22,-1.0,,3.0,2.0,3,,,0
117,273,194978,9,3.0,6.0,9.0,3.0,138,14.5,32,58,-1.0,8.0,22,1.0,,-3.0,-2.0,-3,,,0
118,338,194978,-15,-4.0,-11.0,-12.0,0.0,38,3.5899999999999963,61,-23,1.0,-4.0,2,1.0,,2.0,0.0,3,,,-1
119,734,194978,15,4.0,11.0,12.0,0.0,-38,-3.5899999999999963,-61,23,-1.0,4.0,-2,-1.0,,-2.0,0.0,-3,,,1
120,258,194978,4,-1.0,5.0,4.0,0.0,167,5.950000000000003,48,31,,3.0,22,4.0,,1.0,-1.0,4,,,-1
121,180,194978,-4,1.0,-5.0,-4.0,0.0,-167,-5.950000000000003,-48,-31,,-3.0,-22,-4.0,,-1.0,1.0,-4,,,1
122,246,194978,-13,-5.0,-8.0,-15.0,4.0,-87,-5.8999999999999915,17,4,,-2.0,-12,0.0,1.0,3.0,2.0,1,,,0
123,66,194978,13,5.0,8.0,15.0,-4.0,87,5.8999999999999915,-17,-4,,2.0,12,0.0,-1.0,-3.0,-2.0,-1,,,0
124,273,194970,8,2.0,6.0,6.0,1.0,48,6.609999999999999,-29,23,2.0,7.0,6,0.0,,1.0,0.0,-11,,,1
125,338,194970,-8,-2.0,-6.0,-6.0,-1.0,-48,-6.609999999999999,29,-23,-2.0,-7.0,-6,0.0,,-1.0,0.0,11,,,-1
126,180,194979,-5,,-3.0,2.0,-5.0,73,8.239999999999995,-3,24,2.0,-5.0,10,1.0,,1.0,0.0,0,,,-1
127,66,194979,5,,3.0,-2.0,5.0,-73,-8.239999999999995,3,-24,-2.0,5.0,-10,-1.0,,-1.0,0.0,0,,,1
128,309,194979,1,1.0,0.0,3.0,0.0,-10,-1.6000000000000085,-19,-24,,-2.0,-4,1.0,,2.0,0.0,-9,1.0,,1
129,246,194979,-1,-1.0,0.0,-3.0,0.0,10,1.6000000000000085,19,24,,2.0,4,-1.0,,-2.0,0.0,9,-1.0,,-1
130,734,194979,10,2.0,8.0,6.0,5.0,89,13.259999999999991,8,49,2.0,5.0,12,0.0,,,2.0,-5,,,0
131,282,194979,-10,-2.0,-8.0,-6.0,-5.0,-89,-13.259999999999991,-8,-49,-2.0,-5.0,-12,0.0,,,-2.0,5,,,0
132,273,194979,0,-2.0,2.0,-1.0,0.0,-165,-14.39,-13,-15,-5.0,-2.0,-24,1.0,,2.0,0.0,0,1.0,3.0,0
133,53,194979,0,2.0,-2.0,1.0,0.0,165,14.39,13,15,5.0,2.0,24,-1.0,,-2.0,0.0,0,-1.0,-3.0,0
134,62,194979,5,4.0,1.0,5.0,2.0,366,19.93,31,39,,2.0,38,0.0,,-5.0,0.0,-5,,,1
135,258,194979,-5,-4.0,-1.0,-5.0,-2.0,-366,-19.93,-31,-39,,-2.0,-38,0.0,,5.0,0.0,5,,,-1
136,282,194980,-5,0.0,-5.0,0.0,-5.0,-212,-20.589999999999996,-78,-39,-5.0,-6.0,-30,-3.0,,1.0,-1.0,4,1.0,,1
137,246,194980,5,0.0,5.0,0.0,5.0,212,20.589999999999996,78,39,5.0,6.0,30,3.0,,-1.0,1.0,-4,-1.0,,-1
